,df,sum_sq,mean_sq,F,PR(>F)
is_first_trail,1.0,178.6330468620308,178.6330468620308,760.6840368425584,2.45669842931974e-167
teacher_id,1.0,153.2435414603175,153.2435414603175,652.4430318110849,7.921110647061535e-144
sale_id,1.0,136.73255078352997,136.73255078352997,582.0750234340092,1.538895549235176e-128
exam_year,1.0,101.53614094800332,101.53614094800332,432.1295427146818,6.067170501783058e-96
grade_subject,1.0,64.08086819099105,64.08086819099105,272.6469732737228,3.1062169702933758e-61
subject_ids,1.0,45.35020851107089,45.35020851107089,192.92614183245246,7.426407129360972e-44
school_background,1.0,40.89091083007601,40.89091083007601,173.94989566896302,1.0288080784465494e-39
self_evaluation_length,1.0,36.18612909884062,36.18612909884062,153.93037279948854,2.4238185383165243e-35
student_grade_lpo,1.0,29.296300747474728,29.296300747474728,124.61569007284659,6.219807076795478e-29
student_city_class,1.0,12.428155422663133,12.428155422663133,52.85817256999702,3.58978264358637e-13
coil_in,1.0,7.3042050601935555,7.3042050601935555,31.064322077190834,2.4972964650445725e-08
class_background_label,1.0,6.849535352824045,6.849535352824045,29.13054209735659,6.768867461884878e-08
learning_target_lenght,1.0,4.008683198008143,4.008683198008143,17.0482583402906,3.6446944753352044e-05
student_province,1.0,3.1794678355759403,3.1794678355759403,13.521660903207218,0.00023584718014334238
grade_rank,1.0,2.9873407090946618,2.9873407090946618,12.704563298007848,0.000364794047693644
class_rank_fillna,1.0,2.8388938223010407,2.8388938223010407,12.07323501663894,0.0005115465086248894
student_province_byphone,1.0,2.2334867415872304,2.2334867415872304,9.498519723754333,0.002056474994996547
score_mean,1.0,0.6262033916785811,0.6262033916785811,2.663071188064323,0.1027028102559858
score_min,1.0,0.335971171442434,0.335971171442434,1.4287901151300268,0.23196248949637313
score_max,1.0,0.20925255696791123,0.20925255696791123,0.8898909451304616,0.3455072605786432
know_origin,1.0,0.01777818460353974,0.01777818460353974,0.07560539860255115,0.7833437200195543
